audio file path;album metadata;album directory
C:\Music\Larry McCray\Larry McCray-Midnight Rambler.mp3;Paint It Blue: Songs Of The Rolling Stones;Paint It Blue- Songs Of The Rolling Stones
C:\Music\Laura Branigan\Laura Branigan-Gloria.mp3;Branigan;Branigan
C:\Music\Laura Branigan\Laura Branigan-Self Control.mp3;Self Control;Self Control
C:\Music\LeAnn Rimes\LeAnn Rimes-Big Deal.MP3;LeAnn Rimes;LeAnn Rimes
C:\Music\Leadbelly\Leadbelly - Bring Me Lil Water Silvy.mp3;Its All About the Blues;Its All About the Blues
C:\Music\Leadbelly\Leadbelly - Midnight Special.mp3;The Great Tomato Blues Package;The Great Tomato Blues Package
C:\Music\Leadbelly\Leadbelly - You Don't Know My Mind.mp3;The Blues;The Blues
C:\Music\Leadbelly\Leadbelly-Blue Tail Fly.mp3;Travelin' Blues;Travelin' Blues
C:\Music\Leadbelly\Leadbelly-Easy Rider.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Leadbelly\Leadbelly-Fort Worth And Dallas Blues.mp3;Legends Of The Blues: Volume 1;Legends Of The Blues- Volume 1
C:\Music\Leadbelly\Leadbelly-Good Morning Blues.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Leadbelly\Leadbelly-Where Did You Sleep Last Night.mp3;Denim Blues;Denim Blues
C:\Music\Led Zepplin\Led Zeppelin-Black Dog.mp3;Led Zeppelin IV;Led Zeppelin IV
C:\Music\Led Zepplin\Led Zeppelin-Rock and Roll.mp3;Led Zeppelin IV;Led Zeppelin IV
C:\Music\Led Zepplin\Led Zeppelin-Stairway to Heaven.mp3;Led Zeppelin IV;Led Zeppelin IV
C:\Music\Lena Horn\Lena Horn-Frankie & Johnny.mp3;The Blues In The Rain;The Blues In The Rain
C:\Music\Lena Horn\Lena Horn-Unlucky Woman.mp3;The Blues In The Rain;The Blues In The Rain
C:\Music\Leroy Carr\Leroy Carr-Stormy Night Blues.mp3;Legends Of The Blues: Volume 1;Legends Of The Blues- Volume 1
C:\Music\Lifehouse\Lifehouse-Hanging By a Moment.mp3;No Name Face;No Name Face
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins - Blues Is A Feeling.mp3;The Rising Sun Collection Vol. 11;The Rising Sun Collection Vol. 11
C:\Music\Lightnin' Hopkins\Lightnin' Hopkins - Cryin'Shame.mp3;The Great Tomato Blues Package;The Great Tomato Blues Package
